部位,系統(目安),種目(元),出現,自動代表名,自動寄せ,確定代表名(ここを編集)
"胸","胸プレス系","ダンベルベンチプレス（フラット）","13","ダンベルベンチプレス（インクライン）","寄せ済","ダンベルベンチプレス（インクライン）"
"胸","胸プレス系","アップ⇨ベンチプレス","8","アップ⇨ベンチプレス","","アップ⇨ベンチプレス"
"胸","胸プレス系","インクラインベンチプレス","7","インクラインベンチプレス","","インクラインベンチプレス"
"胸","胸プレス系","マルチプレス","3","マルチプレス","","マルチプレス"
"胸","胸プレス系","ベンチプレス系","2","ベンチプレス","寄せ済","ベンチプレス"
"胸","胸プレス系","ベンチプレス ダンベルプレスでもOK","2","ベンチプレス ダンベルプレスでもOK","","ベンチプレス ダンベルプレスでもOK"
"胸","胸プレス系","ベンチプレス筋力強化","1","ベンチプレス筋力強化","","ベンチプレス筋力強化"
"胸","腕立て系","膝つき腕立て伏せ","496","膝つき腕立て伏せ","","膝つき腕立て伏せ"
"胸","腕立て系","腕立て伏せ","311","腕立て伏せ","","腕立て伏せ"
"胸","腕立て系","ダンベル置いて腕立て伏せ","155","ダンベル置いて腕立て伏せ","寄せ済","ダンベル置いて腕立て伏せ"
"胸","腕立て系","壁付腕立て伏せ","32","壁付腕立て伏せ","寄せ済","壁付腕立て伏せ"
"胸","腕立て系","プッシュアップバー腕立て伏せ","21","プッシュアップバー腕立て伏せ","","プッシュアップバー腕立て伏せ"
"胸","腕立て系","ダンベル置いて足上げ腕立て伏せ","21","ダンベル置いて足上げ腕立て伏せ","","ダンベル置いて足上げ腕立て伏せ"
"胸","腕立て系","逆手腕立て伏せ","10","逆手腕立て伏せ","寄せ済","逆手腕立て伏せ"
"胸","腕立て系","ダンベル腕立て伏せ","10","ダンベル腕立て伏せ","","ダンベル腕立て伏せ"
"胸","腕立て系","膝つきアップ⇒腕立て伏せ","10","膝つきアップ⇒腕立て伏せ","","膝つきアップ⇒腕立て伏せ"
"胸","腕立て系","足上げダンベル置いて腕立て伏せ","9","足上げダンベル置いて腕立て伏せ","寄せ済","足上げダンベル置いて腕立て伏せ"
"胸","腕立て系","公園で斜め腕立て伏せ","9","公園で斜め腕立て伏せ","","公園で斜め腕立て伏せ"
"胸","腕立て系","ダンベルおいて腕立て伏せ","6","ダンベル置いて腕立て伏せ","寄せ済","ダンベル置いて腕立て伏せ"
"胸","腕立て系","足上げ腕立て伏せ","6","足上げ腕立て伏せ","","足上げ腕立て伏せ"
"胸","腕立て系","足上げダンベルおいて腕立て伏せ","6","足上げダンベル置いて腕立て伏せ","寄せ済","足上げダンベル置いて腕立て伏せ"
"胸","腕立て系","足上げ腕立て","5","足上げ腕立て","","足上げ腕立て"
"胸","腕立て系","プッシュアップバー逆手腕立て伏せ","3","プッシュアップバー逆手腕立て伏せ","","プッシュアップバー逆手腕立て伏せ"
"胸","腕立て系","デクラインプッシュアップ","3","デクラインプッシュアップ","","デクラインプッシュアップ"
"胸","腕立て系","プッシュアップバー イスで足上げ腕立て伏せ","3","プッシュアップバー イスで足上げ腕立て伏せ","","プッシュアップバー イスで足上げ腕立て伏せ"
"胸","腕立て系","インクラインプッシュアップ","3","インクラインプッシュアップ","","インクラインプッシュアップ"
"胸","腕立て系","足上げダンベル腕立て伏せ","3","足上げダンベル腕立て伏せ","","足上げダンベル腕立て伏せ"
"胸","腕立て系","壁付腕立て伏せ(慣れると膝つき)","2","壁付腕立て伏せ","寄せ済","壁付腕立て伏せ"
"胸","腕立て系","椅子に足乗せて腕立て伏せ","2","椅子に足乗せて腕立て伏せ","","椅子に足乗せて腕立て伏せ"
"胸","腕立て系","ダンベル置いて逆手腕立て伏せ","2","ダンベル置いて逆手腕立て伏せ","","ダンベル置いて逆手腕立て伏せ"
"胸","腕立て系","パイクプッシュアップ","1","パイクプッシュアップ","","パイクプッシュアップ"
"胸","腕立て系","逆手腕立て伏せ(椅子に足のせてもOK)","1","逆手腕立て伏せ","寄せ済","逆手腕立て伏せ"
"脚","クランチ系","Vクランチ","14","Vクランチ","","Vクランチ"
"脚","クランチ系","バイシクルクランチ","1","バイシクルクランチ","","バイシクルクランチ"
"脚","スクワット系","スクワット","580","スクワット","寄せ済","スクワット"
"脚","スクワット系","ダンベルスクワット","466","ダンベルスクワット","","ダンベルスクワット"
"脚","スクワット系","スミススクワット","19","スミススクワット","","スミススクワット"
"脚","スクワット系","ダンベルフロントスクワット","15","ダンベルフロントスクワット","","ダンベルフロントスクワット"
"脚","スクワット系","バーベルスクワット","12","バーベルスクワット","","バーベルスクワット"
"脚","スクワット系","ワイドスクワット","12","ワイドスクワット","","ワイドスクワット"
"脚","スクワット系","アップ⇨スミススクワット","7","アップ⇨スミススクワット","","アップ⇨スミススクワット"
"脚","スクワット系","スクワット(膝痛まない深さで)","6","スクワット","寄せ済","スクワット"
"脚","スクワット系","浅いスクワット","6","浅いスクワット","","浅いスクワット"
"脚","スクワット系","チューブスクワット","6","チューブスクワット","","チューブスクワット"
"脚","スクワット系","メディシンボールスクワット","2","メディシンボールスクワット","","メディシンボールスクワット"
"脚","スクワット系","アップ⇨ダンベルスクワット","2","アップ⇨ダンベルスクワット","","アップ⇨ダンベルスクワット"
"脚","スクワット系","スクワット レッグプレスでもOK","1","スクワット レッグプレスでもOK","","スクワット レッグプレスでもOK"
"脚","デッドリフト系","ダンベルデットリフト","17","ダンベルデットリフト","","ダンベルデットリフト"
"脚","デッドリフト系","デットリフト","12","デットリフト","","デットリフト"
"脚","デッドリフト系","スミスデットリフト","3","スミスデットリフト","","スミスデットリフト"
"脚","ブルガリアン系","ブルガリアンスクワット","218","ブルガリアンスクワット","寄せ済","ブルガリアンスクワット"
"脚","ブルガリアン系","ダンベルブルガリアンスクワット","17","ダンベルブルガリアンスクワット","","ダンベルブルガリアンスクワット"
"脚","ブルガリアン系","ブルガリアンスクワット（ランジ）","1","ブルガリアンスクワット","寄せ済","ブルガリアンスクワット"
